title,artist,loudness,peak_loudness,avg_max_loudness,loudness_diff_averages,loudness_labels
Bop Moon,Giuseppi Logan,-12.518000,-5.657,-16.583,-4.065,medium
Broke Down,Radio Moscow,-6.830000,-1.818,-8.635,-1.805,loud
Amdokwe,Vusi Mahlasela,-10.290000,-3.314,-14.600,-4.310,medium
Indita Mia (Album Version),Alacranes Musical,-5.202000,-1.797,-7.430,-2.228,loud
Mr. Sellack (Album Version),The Roches,-19.514000,-10.230,-24.142,-4.628,quiet
Hypnotise The Cat,Tam Tam Go!,-6.550000,-2.578,-8.927,-2.377,loud
Nassau Town,John D. Loudermilk,-9.926000,-5.876,-12.056,-2.130,medium
Too Late (Orange Factory Extended Mix),Tina Ann,-3.139000,1.207,-6.007,-2.868,loud
Pocket Calculator (2009 Digital Remaster),Kraftwerk,-8.801000,-3.737,-12.011,-3.210,medium
Dime,Conjunto Mar Azul,-9.062000,-3.472,-11.428,-2.366,medium
The Buzzard's Back in Town (Live),Pumpkin Buzzard,-7.477000,-5.486,-9.216,-1.739,medium
Look Me In The Eye,Margaret Becker,-6.108000,-1.500,-8.238,-2.130,loud
Harry Flowers,William Orbit,-20.607000,-12.996,-25.251,-4.644,quiet
The Lull Before The Storm,Ron Goodwin,-16.333000,-10.364,-19.881,-3.548,quiet
Gonna Take a Miracle,The Elders,-6.454000,-2.538,-8.009,-1.555,loud
Orgasme Tellurique,Stille Volk,-12.685000,-8.564,-14.480,-1.795,medium
SAMJHO NA,F-4,-5.983000,-2.327,-7.964,-1.981,loud
The Sun Shine Down My Way,Doug MacLeod,-10.516000,-2.326,-17.582,-7.066,medium
Neighbor_ Neighbor,Jimmy Hughes,-6.953000,-0.360,-9.417,-2.464,loud
Trace Of Time,Emotion Code,-15.857000,-10.189,-16.552,-0.695,quiet
Mary Had A Little Lamb,Stevie Ray Vaughan And Double Trouble,-14.373000,-6.411,-16.546,-2.173,medium
This Ain't Pleasure,L7,-9.429000,-4.851,-10.925,-1.496,medium
Hear Me Talking To You,Ma Rainey,-14.853000,-5.864,-20.347,-5.494,medium
Man  On The Side,Bill Perry,-6.623000,-1.526,-8.910,-2.287,loud
The wrong woman,Billy Price_ Fred Chapellier,-7.597000,-4.762,-8.524,-0.927,medium
Den Mporo Na Figo,Angela Dimitriou,-11.947000,-4.928,-15.223,-3.276,medium
Skylark,Ann Hampton Callaway,-17.462000,-4.249,-24.375,-6.913,quiet
MVP,Corey / Shaquille O'Neal,-5.228000,-0.272,-10.324,-5.096,loud
Between Hell and A Heartbeat [Explicit],Hatebreed (int License),-3.731000,-1.030,-5.626,-1.895,loud
Broken Promises (album version),Moments In Grace,-6.214000,-3.793,-7.943,-1.729,loud
I'll Come Running,Connie Smith,-9.089000,-5.217,-10.570,-1.481,medium
Thresh Hold,Uphill Battle,-1.545000,1.022,-2.121,-0.576,loud
Boulevard In Heaven,Barbara Fairchild,-8.961000,-2.362,-15.440,-6.479,medium
Mambo del Beso,Orquesta Aragón,-16.394000,-9.748,-18.307,-1.913,quiet
Boogie,Wilks featuring pee wee ellis,-11.302000,-5.347,-18.468,-7.166,medium
Stagger Lee,Nick Cave & The Bad Seeds,-9.290000,-3.553,-12.235,-2.945,medium
Two Four One,Dave And Ansel Collins,-14.300000,-9.906,-15.470,-1.170,medium
Survivalism,Nine Inch Nails,-6.787000,-2.985,-10.329,-3.542,loud
Provisoirement,DÉSOLÉ,-10.499000,-4.619,-13.793,-3.294,medium
AquaCityBoy,K-OS,-5.095000,-1.761,-7.114,-2.019,loud
Chlore,Pascal Obispo,-13.691000,-5.293,-17.325,-3.634,medium
Lala Song (Matesi DJ "Silverstatix"remix,Bob Sinclar,-6.635000,-2.236,-7.941,-1.306,loud
Sarah Palin {I Wanna Lay Pipe},John Brown,-6.562000,-2.285,-9.618,-3.056,loud
Santa Claus Is Coming To Town,Buddy Miles,-6.736000,-2.914,-9.018,-2.282,loud
Fat Tianne,Tanto Metro & Devonte,-8.148000,-2.985,-9.078,-0.930,medium
Neir,Mau Mau,-7.921000,-3.884,-9.950,-2.029,medium
Nowhere To Run,Michael McDonald,-4.222000,-0.664,-6.354,-2.132,loud
Mercy (Album Version),Darwin Hobbs,-10.440000,-5.560,-15.316,-4.876,medium
Sting Me,The Black Crowes,-7.349000,-2.669,-10.153,-2.804,medium
You're Looking Good,Dee Clark,-12.632000,-5.244,-16.430,-3.798,medium
Cooling Out,Cocoa Tea,-11.368000,-5.802,-13.363,-1.995,medium
I See War,IYOV,-4.063000,-1.697,-5.846,-1.783,loud
Brother Brick Says,Claw Hammer,-6.914000,-3.592,-8.278,-1.364,loud
Anita Love's,Carlos Jimenez,-8.232000,-3.981,-10.343,-2.111,medium
UBIK The Breakz (feat. Martin Bettinghaus) - Radio Mix,Timo Maas,-18.516000,-10.698,-24.781,-6.265,quiet
If You Think You Are Lonely Now,Kashief Lindo,-6.680000,-2.003,-9.708,-3.028,loud
Little Drummer Boy,The Almost,-7.387000,-2.195,-10.858,-3.471,medium
Silencio De Aguas Profundas,Alas,-15.442000,-6.949,-21.616,-6.174,quiet
Studen plamuk,Sofi Marinova,-4.978000,-1.300,-7.474,-2.496,loud
Lioraras,Los Ninos De Sara,-6.195000,-1.889,-8.304,-2.109,loud
Hiraeth am Feirion,The Gentle Good,-16.489000,-8.398,-21.776,-5.287,quiet
Saylarvee (LP Version),Small Faces,-14.946000,-8.122,-17.969,-3.023,medium
Conversation,Jimmy Riley,-7.284000,-2.932,-11.104,-3.820,medium
The Call,Backstreet Boys,-2.801000,2.966,-7.369,-4.568,loud
Die Art von Mann,1. Futurologischer Congress,-8.166000,-3.736,-11.107,-2.941,medium
Eddie's Pad,Tom Collier,-17.325000,-7.503,-21.570,-4.245,quiet
Liberty,Heavenly,-4.283000,-1.588,-5.415,-1.132,loud
L'horizon Chimérique,Julien Clerc,-8.648000,-4.071,-11.822,-3.174,medium
Raza Cristalera,Los Morros Del Norte,-7.092000,-1.271,-9.817,-2.725,medium
The Tie That Binds,Moon Mullican,-23.461000,-15.294,-27.077,-3.616,quiet
First Boyfriend,Helen Love,-6.674000,-3.725,-8.205,-1.531,loud
Seikurabe (Karaoke),Yuko Kanzaki,-12.270000,-4.494,-17.495,-5.225,medium
G G Kah,Moonface,-11.516000,-7.073,-13.556,-2.040,medium
The Mission,30 Seconds To Mars,-4.675000,-1.629,-6.784,-2.109,loud
Two-Sided Politics,Suicidal Tendencies,-7.499000,-3.517,-8.710,-1.211,medium
La Matanza,Grace Gale,-6.533000,-2.806,-8.944,-2.411,loud
On Tha Rox,King Tee,-6.211000,-0.925,-9.273,-3.062,loud
L'Amour en Heritage,Alain Morisod,-19.449000,-13.682,-22.220,-2.771,quiet
Medley Final,Kassav',-8.294000,-1.220,-10.063,-1.769,medium
All Over Now,X,-6.898000,-4.406,-7.973,-1.075,loud
Cuando Ya Me Empiece A Quedar Solo,Sui Generis,-16.111000,-7.627,-26.562,-10.451,quiet
Beautiful,Eminem,-7.038000,-2.455,-12.172,-5.134,medium
No More Troubles,Sunnyland Slim,-14.165000,-3.899,-18.513,-4.348,medium
L.A. Arteest Café,Stew,-14.023000,-7.531,-16.138,-2.115,medium
Juggernaut,Cauda Pavonis,-3.697000,-1.204,-5.064,-1.367,loud
Had To Call (featuring Snoop Dogg & Sleepy Eyed Jones)  (Explicit Chopped & Screwed Version),Twista,-6.945000,-2.292,-10.368,-3.423,loud
Runaway Train (LP Version),Geddy Lee,-5.956000,-2.565,-7.978,-2.022,loud
Letters to Norway,Planetakis,-2.019000,0.043,-3.093,-1.074,loud
They Know (Remix),Rick Ross,-8.451000,-6.025,-9.735,-1.284,medium
Still Love Remains (Album Version),Seal,-11.918000,-5.341,-17.112,-5.194,medium
The First Leaves Of Autumn,The Fureys,-20.975000,-14.641,-24.896,-3.921,quiet
Bright Lights_ Big City,Jim Jones / Max B,-6.888000,-3.593,-9.015,-2.127,loud
Maybe Someday...,Simply Red,-9.380000,-3.931,-12.451,-3.071,medium
j Uh!,Juana Molina,-19.775000,-12.507,-24.085,-4.310,quiet
Le clair de lune à maubeuge,Bézu,-5.772000,-1.780,-7.300,-1.528,loud
Seventy Times Seven (LP Version),David Meece,-13.474000,-7.811,-17.296,-3.822,medium
Life Is Real,Ayo,-9.158000,-1.911,-11.344,-2.186,medium
Snow [Hey Oh] [Live Version],Red Hot Chili Peppers,-4.144000,-0.237,-7.106,-2.962,loud
Silence,Mothers Pride,-6.155000,-2.515,-9.254,-3.099,loud
Absolute Horizon,Byzantine,-5.663000,-1.868,-8.241,-2.578,loud
Turnpike,Halfway to Gone,-5.544000,-2.143,-7.177,-1.633,loud
Spoonful,Robben Ford,-6.626000,-2.764,-8.954,-2.328,loud
Si Te Dicen Por Ahi,Charlie Cruz,-3.087000,0.858,-4.502,-1.415,loud
L'Etang Chimérique,Jacques Douai,-18.803000,-9.833,-24.773,-5.970,quiet
On The Road To Emmaus,The Steeles,-10.447000,-5.900,-12.467,-2.020,medium
Need More Blues,Sleepy John Estes,-15.163000,-8.462,-19.179,-4.016,quiet
Werewolf_ Semen And Blood,Beherit,-13.213000,-9.056,-15.349,-2.136,medium
Moritat (Mack The Knife),Bobby Darin,-7.540000,-2.689,-12.277,-4.737,medium
If You Ask Me,Nick Colionne,-7.114000,-2.304,-10.343,-3.229,medium
Beauty Queen (12" Spoon Club Mix),SNAP!,-9.317000,-3.476,-12.749,-3.432,medium
Pickled Heads,Elliot Goldenthal,-13.959000,-5.217,-18.174,-4.215,medium
El Capiro,Mercedes Castro,-8.593000,-3.698,-12.406,-3.813,medium
Revelations,Marco Beltrami,-28.231000,-18.051,-33.600,-5.369,quiet
Little Cry For Him (Chorinho Pra Ele) (LP Version),Hermeto Pascoal,-9.349000,-3.286,-10.631,-1.282,medium
Silence,Jedi Mind Tricks,-5.688000,-2.220,-8.499,-2.811,loud
Just Like Lightnin',Joe Satriani,-5.943000,-2.227,-8.527,-2.584,loud
Lost In The Funhouse Again,Michael Stanley Band,-12.253000,-7.394,-14.398,-2.145,medium
The White Spirit,Uman,-16.062000,-10.333,-20.498,-4.436,quiet
Escape From The City,John Williams,-20.958000,-10.313,-25.975,-5.017,quiet
Cri'r Adar Main,The Gentle Good,-12.000000,-5.460,-14.789,-2.789,medium
Time Zone (Album Version),Lauren Wood,-16.137000,-9.844,-21.208,-5.071,quiet
We're Together Again,Ray Pillow,-13.404000,-8.648,-16.602,-3.198,medium
If Your Na Na Get Wet,Baby Bash,-4.754000,-0.802,-7.107,-2.353,loud
Mine Again,Mariah Carey,-9.635000,-2.384,-15.665,-6.030,medium
Gone,Frankie J,-6.728000,0.023,-12.585,-5.857,loud
No One Knows,George Nooks,-6.735000,-2.172,-10.313,-3.578,loud
Procession,Vangelis,-17.629000,-6.354,-22.379,-4.750,quiet
Multiplayer,Babylon Disco,-16.156000,-12.967,-17.984,-1.828,quiet
Vennette,Maria Bamford,-10.377000,-4.376,-13.542,-3.165,medium
The  First Of The Year,Rubyhorse,-13.556000,-5.704,-19.558,-6.002,medium
Ooh La La,Tyrone Davis,-10.401000,-3.841,-13.880,-3.479,medium
Airto's Jazz Dance,Flora Purim,-14.181000,-4.148,-18.488,-4.307,medium
When Summer's Through,THE CHIFFONS,-9.059000,-6.201,-11.055,-1.996,medium
Bobby's Girl (Previously Unreleased Demo - Stereo),Marcie Blane,-12.682000,-8.775,-14.814,-2.132,medium
The Traveller,Atman,-11.613000,-5.420,-18.101,-6.488,medium
Freight Train,Elizabeth Cotten,-16.678000,-8.450,-21.001,-4.323,quiet
Cuando Quieres Tu,Sonora Santanera,-16.275000,-11.963,-17.351,-1.076,quiet
Let It Be Me,Tommy McLain,-21.418000,-11.281,-25.087,-3.669,quiet
Aquel Amor,Flor Silvestre,-10.190000,-2.550,-14.205,-4.015,medium
Unicorn,David Lynch,-13.610000,-6.252,-19.791,-6.181,medium
Into Battle,Ensiferum,-5.827000,-2.807,-7.312,-1.485,loud
(Do)Minion,Eluveitie,-4.367000,-0.675,-5.830,-1.463,loud
Active,Dark Party,-3.542000,0.597,-8.821,-5.279,loud
Interlude: Livin'...In Complete Darkness,Janet Jackson,-19.990000,-14.393,-24.081,-4.091,quiet
Li Jia Chu Zou,Janice Vidal,-9.770000,-3.564,-14.081,-4.311,medium
Times Like These,Albin Myers,-8.648000,-3.027,-12.479,-3.831,medium
I'm A Killer,Hot Live Guys,-3.846000,-0.678,-4.688,-0.842,loud
Djessy,Kanda Bongo Man,-12.831000,-7.419,-14.940,-2.109,medium
Nightly Cares,Múm,-15.775000,-8.707,-20.914,-5.139,quiet
Love Selecta (feat Iffectz & Marwa),Alex,-6.023000,-2.928,-7.535,-1.512,loud
Whosoever Will (LP Version),Marvin Sapp,-14.668000,-4.227,-20.658,-5.990,medium
A Girls Oath,Eluveitie,-14.481000,-10.734,-15.862,-1.381,medium
Rossignol Montmartrois (Polka),Jo Privat,-7.828000,-0.760,-9.214,-1.386,medium
Ku Klux Klan,Steel Pulse,-6.092000,0.329,-8.788,-2.696,loud
Anybody Seen My Girl,Keb'Mo',-15.608000,-8.506,-21.558,-5.950,quiet
Lively Up Yourself,Bob Marley,-7.236000,-2.628,-9.318,-2.082,medium
I'm All Yours (LP Version),Rachael Lampa,-2.224000,1.588,-5.550,-3.326,loud
Get On Our Own,Buzzcocks,-11.058000,-6.084,-13.311,-2.253,medium
Concerto for Orchestra (Zoroastrian Riddles) (1996)/3. Adagio non troppo,David Zinman;Pittsburgh Symphony Orchestra,-25.895000,-12.279,-34.853,-8.958,quiet
Just My Baby,Rickie Lee Jones,-9.785000,-5.960,-12.469,-2.684,medium
Because Of You,Cece Winans,-9.915000,-2.916,-14.197,-4.282,medium
I denna ljuva sommartid,Sofia Karlsson,-14.863000,-4.349,-21.580,-6.717,medium
Shape Of My Heart,Backstreet Boys,-5.470000,-2.121,-7.155,-1.685,loud
Firedance,Mystic Rhythms Band,-8.913000,-4.053,-10.940,-2.027,medium
Hopelessly,Epitaph,-11.017000,-6.368,-13.348,-2.331,medium
Let's Have Some Fun,Rodney O_ Joe Cooley,-11.255000,-3.506,-15.604,-4.349,medium
The Keys,Jerry Goldsmith,-28.190000,-21.525,-32.271,-4.081,quiet
Juste Une Fois,Alexis HK,-15.615000,-8.712,-20.183,-4.568,quiet
Prelude In C Minor From The Well Tempered-Clavier,Steve Erquiaga,-23.966000,-14.492,-26.866,-2.900,quiet
Love Can Run Faster,Robert Palmer,-17.664000,-10.774,-21.766,-4.102,quiet
The Blue Side of The Sun,Sigmatropic,-8.511000,-3.722,-11.397,-2.886,medium
New Detroit,Neon Blonde,-5.059000,-2.170,-7.449,-2.390,loud
da da Diamonds,Soul Ballet,-6.769000,-0.471,-11.732,-4.963,loud
Livin' A Lie (Video Mix),Milk Inc.,-6.620000,-1.565,-9.799,-3.179,loud
Proud,Korn,-4.347000,-1.159,-6.052,-1.705,loud
Communication (More Mix),Mario Piu',-9.300000,-2.893,-13.101,-3.801,medium
Passover,Joy Division,-9.663000,-6.833,-11.286,-1.623,medium
Wolverine Blues (Slight Flaw In Master) (1940 Blackhawk Restaurant Chicago),Bob Crosby,-14.946000,-11.032,-17.436,-2.490,medium
Rock & Roll Renegade,The Frantic,-5.220000,-2.619,-6.091,-0.871,loud
C'Est Moi L'BO$$,Ruffneck,-5.411000,-1.992,-7.977,-2.566,loud
Soo Bawlz,Devo,-11.714000,-5.234,-14.471,-2.757,medium
Blåsut,Sofia Karlsson,-10.062000,-3.802,-12.888,-2.826,medium
By Faith I Can Touch Him Now,The Perrys,-8.962000,-3.291,-12.611,-3.649,medium
Wait On The Lord  (LP Version),Shirley Caesar,-12.411000,-7.665,-14.840,-2.429,medium
Curiosity,The Jets,-9.923000,-3.991,-12.891,-2.968,medium
Fire (Orange Factory Dub),Dolce; Orange Factory,-6.497000,0.341,-9.847,-3.350,loud
Music Of The Sun,Rihanna,-8.298000,-3.743,-11.363,-3.065,medium
Width Of The World,Tin Hat Trio,-12.957000,-6.141,-19.656,-6.699,medium
Houston Anthem,DJ Nasty,-3.586000,-0.706,-5.031,-1.445,loud
Til The Storm Passes By,Bill & Gloria Gaither,-17.452000,-11.379,-21.060,-3.608,quiet
Dinner Party Pool Music,Angelo Badalamenti,-23.476000,-9.349,-26.854,-3.378,quiet
More Than One Love,Venice,-9.236000,-5.948,-11.132,-1.896,medium
Pegadito,Tommy Torres,-7.492000,-2.441,-11.447,-3.955,medium
Street Lights,Kanye West,-9.644000,-4.637,-12.937,-3.293,medium
Death of Me,Smash Palace,-6.672000,-3.416,-8.827,-2.155,loud
More Than Vocals (MTV),Natural Elements,-12.690000,-7.996,-14.331,-1.641,medium
Sentimento (Asteri_ Asteraki),Dakis,-8.918000,-3.704,-11.730,-2.812,medium
Slips Of Paper,Dave Brockie Experience,-6.293000,-3.631,-7.487,-1.194,loud
Mesmerise The Future Part 1,Emotion Code,-17.825000,-13.253,-20.464,-2.639,quiet
Backseat Driver,Debbie Davies,-5.981000,-2.092,-7.804,-1.823,loud
Refuge,Matisyahu,-8.702000,-3.497,-11.545,-2.843,medium
Sex,Bow Wow Wow,-12.324000,-8.179,-14.324,-2.000,medium
Engel,Der Plan,-15.429000,-10.821,-17.831,-2.402,quiet
Oh Little Town Of Bethlehem,Sergio Franchi,-14.431000,-10.273,-16.504,-2.073,medium
Old Memory,Ashton Shepherd,-6.857000,-2.583,-10.801,-3.944,loud
The Lord Will Go Before You,Janet Paschal,-10.204000,-7.257,-11.610,-1.406,medium
Mama Talk To Your Daughter (take 2),Lonnie Brooks,-9.392000,-4.428,-11.581,-2.189,medium
Grow Proper,I Wayne,-5.587000,-0.963,-7.326,-1.739,loud
My Chickasay Girl,Roy Rogers,-15.913000,-8.882,-18.114,-2.201,quiet
Soorma,Jazzy B,-7.172000,-2.714,-9.396,-2.224,medium
Flamme & co,Les Ogres De Barback,-10.899000,-2.868,-15.678,-4.779,medium
Welcome To Hell,Coffinberry,-10.427000,-5.977,-14.694,-4.267,medium
Boyfriend,Janitor Joe,-12.114000,-9.538,-13.186,-1.072,medium
We've Only Just Begun (LP Version),Young-Holt Unlimited,-10.095000,-4.451,-12.444,-2.349,medium
Night Won't Last Forever_ The (Kingdom Come Album Version),Charlie Peacock,-9.640000,-2.122,-14.436,-4.796,medium
All The Difference In The World,Brent Lamb,-10.753000,-6.701,-13.523,-2.770,medium
Memmer?... U Memmer!,George Lopez,-16.169000,-10.456,-20.096,-3.927,quiet
Koronoko,Rokia Traoré,-9.784000,-4.762,-12.233,-2.449,medium
See You Comin',Vodka Collins,-5.654000,-2.270,-7.146,-1.492,loud
Megalodon,Mastodon,-7.628000,-4.335,-8.838,-1.210,medium
Telepathy/Ted Haggard Got Cured of the Gay,Joe Rogan,-5.475000,-0.268,-8.471,-2.996,loud
Be My Lover,Brenda Boykin,-10.235000,-4.975,-13.442,-3.207,medium
Washed Away,Tom Cochrane,-11.415000,-6.411,-15.449,-4.034,medium
Angel Of Heaven's Gate,Erik Berglund,-23.876000,-14.256,-28.792,-4.916,quiet
American Ghost Dance (2003 Digital Remastered),Red Hot Chili Peppers,-4.818000,-0.060,-8.278,-3.460,loud
Voices,James Newton Howard,-28.506000,-23.058,-32.207,-3.701,quiet
Song 2,Faith Yang,-6.223000,-2.194,-10.455,-4.232,loud
Binaural Presentation - Focus On A Beam Emptied Of Thinking_ Outward...,Roger Reynolds,-30.140000,-19.159,-36.001,-5.861,quiet
Sophisticated Lady,Toots Thielemans,-16.252000,-7.480,-21.885,-5.633,quiet
Watch Them,SOJA,-9.320000,-4.353,-12.648,-3.328,medium
I Guess I'm Crazy,Jim Reeves,-12.653000,-8.953,-15.037,-2.384,medium
Asheville Turnaround,The Del McCoury Band,-9.059000,-4.093,-10.952,-1.893,medium
Pour toute la vie,Les Hou-Lops,-6.779000,-3.067,-8.013,-1.234,loud
Spacer,Ketty DB,-13.657000,-9.650,-15.611,-1.954,medium
Morning's Coming,Jeff And Sheri Easter,-6.604000,-3.284,-9.031,-2.427,loud
Backlash,Sonic Subjunkies,-11.121000,-2.636,-14.705,-3.584,medium
Broke Down On The Brazos (Album),Gov't Mule,-5.856000,-1.930,-8.181,-2.325,loud
Popsy,Ray Conniff,-9.568000,-6.787,-10.878,-1.310,medium
She's About A Mover,Sir Douglas Quintet,-11.080000,-7.573,-13.777,-2.697,medium
Christe Eleison (Christ Have Mercy) (Center Of My Universe Album Version),Michelle Tumes,-9.113000,-4.913,-12.626,-3.513,medium
Come See,Major Lance,-9.379000,-5.346,-11.193,-1.814,medium
Ghetto,Bad Azz,-7.532000,-2.444,-11.460,-3.928,medium
This White Circle,Kitty Wells,-17.877000,-13.603,-20.937,-3.060,quiet
WristStraining Order,Defect & Quixotic,-5.136000,-0.812,-7.624,-2.488,loud
Radio Roy II,Mario Rosenstock,-7.018000,-1.107,-9.365,-2.347,medium
Down at the Mardi Gras,Rockin' Dopsie_ Jr.,-8.265000,-2.816,-10.359,-2.094,medium
Love Dump (Demo Version),Static-X,-5.051000,-1.326,-7.887,-2.836,loud
No-Satellites,She Satellites,-7.798000,-2.979,-11.952,-4.154,medium
Roorasty,Saman,-7.807000,-4.212,-9.220,-1.413,medium
Chinz Ninja (Rui Da Silva mix),Smart Alex,-10.591000,-4.679,-13.233,-2.642,medium
Call Of Da Wild,OutKast,-6.788000,-1.887,-10.843,-4.055,loud
Dirty Diana,Michael Jackson,-4.843000,0.968,-8.839,-3.996,loud
Single Man Blues,Bukka White,-14.419000,-6.994,-18.584,-4.165,medium
Mother's Day Part 1,AFS,-13.308000,-8.204,-17.070,-3.762,medium
I'd Like To Be,Jim Reeves,-12.744000,-7.997,-14.977,-2.233,medium
Weightless (Demo),Wet Wet Wet,-8.209000,-4.501,-10.516,-2.307,medium
Conqueror Worm,Tsar,-2.588000,0.504,-4.478,-1.890,loud
White Christmas,Martin Sexton,-12.031000,-4.689,-17.774,-5.743,medium
Arrows Of The Gods,Elliot Goldenthal,-12.671000,-3.678,-16.507,-3.836,medium
San Juan,Dave Valentin,-10.325000,-3.174,-12.187,-1.862,medium
Classic Material,Casual,-5.022000,-1.456,-6.160,-1.138,loud
Groovin' With Jimmy,Jimmy Burns,-7.461000,-2.915,-9.387,-1.926,medium
Au mariage des Levon-Lecu (Live),Claire Elzière,-11.339000,-3.836,-13.858,-2.519,medium
Wonderful Peace,Dino,-22.504000,-12.586,-29.733,-7.229,quiet
Mate Tron,Luke Vibert,-9.801000,-4.349,-14.061,-4.260,medium
Time Will Tell,Ice,-5.956000,-0.637,-9.656,-3.700,loud
Ladies And Gentlemen,Spiral Stairs,-22.710000,-14.360,-31.721,-9.011,quiet
E,Rea_ Chris,-13.018000,-6.928,-17.662,-4.644,medium
Deviate From The Form,Scar Symmetry,-4.136000,-1.160,-5.810,-1.674,loud
Mambo Tipico,Tito Puente,-10.702000,-6.129,-11.953,-1.251,medium
The Door,Silverchair,-5.382000,-3.200,-6.647,-1.265,loud
Dichoso,Willie Bobo,-13.984000,-7.279,-17.973,-3.989,medium
Better Luck Next Time,Lifehouse,-4.176000,-1.039,-6.489,-2.313,loud
Todo Lo Que Soy,Carlos Ponce,-6.804000,-0.711,-10.191,-3.387,loud
La mujer que no sone (Album),Ricardo Arjona,-10.208000,-4.998,-13.007,-2.799,medium
Baby Don't You Change,Tyrone Wells,-7.825000,-2.108,-11.683,-3.858,medium
Early In The Morning,B.B. King,-4.651000,-1.349,-6.052,-1.401,loud
Sportin' Life,John Sebastian,-19.944000,-7.051,-23.750,-3.806,quiet
Valse Des Montagnes,Andre Verchuren,-12.187000,-6.323,-14.099,-1.912,medium
The Three-Dimensional Shadow,Scar Symmetry,-3.492000,-0.953,-4.630,-1.138,loud
Souvenirs,Concretes,-11.112000,-6.926,-13.857,-2.745,medium
Train Tracks,Izzy Stradlin And The Ju Ju Hounds,-10.097000,-5.145,-12.574,-2.477,medium
Unchain Us,Don Campbell,-6.870000,-3.089,-9.525,-2.655,loud
Carry The Light,David Lynch,-9.214000,-2.579,-12.783,-3.569,medium
Hot Weiners (All The Way),Cotton Candy,-8.796000,-2.246,-13.466,-4.670,medium
Down_ Down_ Down,Frank Marino & Mahogany Rush,-8.978000,-5.784,-10.241,-1.263,medium
Call The Police,John Wayne,-9.947000,-5.340,-11.315,-1.368,medium
Scared,The Incurables,-10.085000,-4.921,-13.572,-3.487,medium
Don't Go,Bert Kaempfert,-20.282000,-11.880,-25.238,-4.956,quiet
She's Actin Bad,H-Town,-3.460000,-0.101,-5.941,-2.481,loud
The Harp That Once Through Tara's Halls,Voyager Series,-24.327000,-14.522,-29.966,-5.639,quiet
You'll Never Know,JERRY WALLACE,-14.794000,-9.815,-17.877,-3.083,medium
Feel It Boy (Deep Dish Danchall Remix) (Feat. Janet Jackson),Beenie Man Featuring Janet Jackson,-4.475000,1.603,-9.531,-5.056,loud
Auprès De Mon Arbre,Georges Brassens,-11.242000,-4.040,-14.278,-3.036,medium
Basking Under a Blacksun Dawning,Morgion,-7.422000,-4.484,-9.460,-2.038,medium
Freedom,4Him,-10.996000,-6.729,-13.987,-2.991,medium
Let It Bleed,Wild Horses,-8.527000,-5.296,-10.801,-2.274,medium
Touch My Hand [Remastered],David Meece,-13.506000,-7.221,-19.625,-6.119,medium
Hide Away,Freddie King,-6.615000,-0.614,-9.718,-3.103,loud
Never Gonna Be The Same,Danny Wilson,-11.053000,-5.064,-14.850,-3.797,medium
Beothuck,Malefaction,-3.930000,-1.471,-4.537,-0.607,loud
Uu-Pee-Ämmät,Jope Ruonansuu,-4.762000,-1.546,-6.372,-1.610,loud
After The Laughter,Marcie Blane,-9.737000,-5.458,-12.119,-2.382,medium
That Little Ole Wine Drinker Me - Original,Charlie Walker,-17.913000,-13.291,-19.741,-1.828,quiet
CB4 (Instrumental Mix),Slum Village,-7.941000,-1.600,-16.542,-8.601,medium
Pop Pop,Twista,-9.632000,-4.073,-13.623,-3.991,medium
Grateful & Thankful,Francis Dunnery,-13.095000,-6.468,-17.489,-4.394,medium
The Minuet Of The Robots,Perrey And Kingsley,-11.382000,-6.935,-13.176,-1.794,medium
Another Djemba Djemba,Youves,-6.885000,-3.526,-8.879,-1.994,loud
Je T'Appartiens,Maurice Larcange,-12.350000,-5.722,-16.660,-4.310,medium
Paseo Colòn,Mau Mau,-7.613000,-3.722,-8.949,-1.336,medium
Shotgun Sally,Cats In Boots,-5.602000,-3.325,-6.387,-0.785,loud
Rock On The Radio,Firehouse,-10.181000,-6.589,-12.018,-1.837,medium
Awake,The Panic Channel,-3.229000,1.156,-5.836,-2.607,loud
Fat Tuesday,Chris Standring,-9.339000,-2.619,-14.711,-5.372,medium
Recordar Es Vivir,El Gran Silencio,-6.570000,-0.916,-10.713,-4.143,loud
You do something to me,Ismael Dueñas,-17.495000,-5.623,-21.715,-4.220,quiet
Cherokee,The Galactic Heroes,-10.330000,-6.755,-11.912,-1.582,medium
Heavenly Father,FU-Schnickens,-9.716000,-5.710,-13.342,-3.626,medium
Try Me One More Time,Sonny Terry & Brownie McGhee,-18.526000,-4.859,-22.874,-4.348,quiet
When You See Me,Bad Azz,-5.345000,-0.427,-8.293,-2.948,loud
Plastic People (Original Mix),Anané,-5.516000,2.043,-7.305,-1.789,loud
One Million Matches,Rocker-T,-7.253000,-2.883,-9.234,-1.981,medium
U Complete Me (Blues Version - Bonus Track),Ana Popovic,-7.737000,-1.183,-12.987,-5.250,medium
Viens boire un petit coup à la maison,Bézu,-10.696000,-6.743,-12.422,-1.726,medium
Let Me Be Your Fantasy,Baby D,-8.029000,-2.675,-11.051,-3.022,medium
La Nit De Reis,Gertrudis,-6.433000,-1.910,-8.880,-2.447,loud
Stuck On Your Love,Emilio,-7.453000,-2.810,-11.848,-4.395,medium
